name;country;iso_code
Angra;Brazil;BRA
Al Bowlly;Mozambique;MOZ
Al-Ahram Orchestra;Egypt;EGY
Alan Lomax;United States of America;USA
Alceu Valença;Brazil;BRA
Alice In Chains;United States of America;USA
Altemar Dutra;Brazil;BRA
Amadou & Mariam;Benin;BEN
Amon Amarth;Sweden;SWE
Amália Rodrigues;Portugal;PRT
Ana Roxanne;United States of America;USA
Anathema;United Kingdom;GBR
Angelo DeBarre;France;FRA
Angels Of Venice;Italy;ITA
Antonín Dvořák;Czechia;CZE
Arcantus;United Kingdom;GBR
Artesia;France;FRA
Arto Tunçboyacıyan;Armenia;ARM
Beedle The Bardcore;United Kingdom;GBR
Black Ox Orkestar;Canada;CAN
Black Pumas;United States of America;USA
Black Sabbath;United Kingdom;GBR
Blackmore's Night;United Kingdom;GBR
Blind Delon;France;FRA
Blind Guardian;Germany;DEU
Bloodywood;India;IND
Blutengel;Germany;DEU
Bon Jovi;United States of America;USA
Boy Harsher;United States of America;USA
Brian Bennett;United Kingdom;GBR
Bruce Springsteen;United States of America;USA
BrunuhVille;Portugal;PRT
Bulat Okudzhava;Russia;RUS
Buzz Kull;Australia;AUS
Charles Aznavour;France;FRA
Chet Atkins;United States of America;USA
Corvus Corax;Germany;DEU
Cradle Of Filth;United Kingdom;GBR
Creedence Clearwater Revival;United States of America;USA
Cusco;Peru;PER
Danheim;Denmark;DNK
David Bowie;United Kingdom;GBR
Dead Can Dance;Australia;AUS
Depeche Mode;United Kingdom;GBR
Derek Fiechter;United States of America;USA
Desireless;France;FRA
Dexter Gordon;United States of America;USA
Dimmu Borgir;Norway;NOR
Dio;United States of America;USA
Diva Destruction;United States of America;USA
Dropkick Murphys;United Kingdom;GBR
Eivør;Faroe Islands;FRO
El Búho;United Kingdom;GBR
Elias Rahbani;Lebanon;LBN
Elton John;United Kingdom;GBR
Eluveitie;Switzerland;CHE
Eminem;United States of America;USA
Empyrium;Germany;DEU
Enaid;United Kingdom;GBR
Ennio Morricone;Italy;ITA
Ensemble circassien de Jordanie;Jordan;JOR
Enya;United Kingdom;GBR
Falkenbach;Germany;DEU
Faran Ensemble;Israel;ISR
Faun;Germany;DEU
Fejd;Sweden;SWE
Felix Mendelssohn;Germany;DEU
Fever Ray;Sweden;SWE
Flaer Smin;Kazakhstan;KAZ
Flogging Molly;Ireland;IRL
Forgotten Pathways;Germany;DEU
Forndom;Sweden;SWE
Four Tops;United States of America;USA
Franz Schubert;Austria;AUT
Frédéric Chopin;Poland;POL
Gaelic Storm;United Kingdom;GBR
George Jones;United States of America;USA
Giorgio Moroder;Italy;ITA
Giuseppe Verdi;Italy;ITA
Gogol Bordello;Ukraine;UKR
Guts;France;FRA
Hagalaz' Runedance;Norway;NOR
Haggard;Germany;DEU
Hans Zimmer;Germany;DEU
Heimweh;Germany;DEU
Herb Alpert;United States of America;USA
Hildur Guðnadóttir;Iceland;ISL
Howard Shore;Canada;CAN
Iron Maiden;United Kingdom;GBR
Ivar Bjørnson & Einar Selvik;Norway;NOR
J-Walk;South Korea;KOR
Jacques Brel;France;FRA
James Last;Germany;DEU
Jean-Michel Jarre;France;FRA
Joan Baez;United States of America;USA
Joe Hisaishi;Japan;JPN
Johann Sebastian Bach;Germany;DEU
John Barry;United Kingdom;GBR
John Williams;United States of America;USA
Judas Priest;United Kingdom;GBR
Jóhann Jóhannsson;Iceland;ISL
Kino;Russia;RUS
Kitaro;Japan;JPN
Korpiklaani;Finland;FIN
Kraftwerk;Germany;DEU
Kælan Mikla;Iceland;ISL
Lacrimosa;Germany;DEU
Lebanon Hanover;United Kingdom;GBR
Led Zeppelin;United Kingdom;GBR
Les Musiciens de Lviv;Ukraine;UKR
Linea Aspera;United Kingdom;GBR
Luca Turilli;Italy;ITA
Ludwig Goransson;Sweden;SWE
Ludwig van Beethoven;Germany;DEU
Lyudmila Zykina;Russia;RUS
Macbeth;Italy;ITA
Magazin;Croatia;HRV
Majida El Roumi;Lebanon;LBN
Matt Elliott;United Kingdom;GBR
Men At Work;Australia;AUS
Metallica;United States of America;USA
Mia Martini;Italy;ITA
Mica Levi;United Kingdom;GBR
Michelle Gurevich;Canada;CAN
Moby;United States of America;USA
Mort Garson;Canada;CAN
Narsilion;Spain;ESP
Naseer Shamma;Iraq;IRQ
Nightwish;Finland;FIN
Nina Simone;United States of America;USA
OMNIA;Netherlands;NLD
Opa Tsupa;France;FRA
Opale;France;FRA
Ophelia's Dream;Germany;DEU
Ozzy Osbourne;United Kingdom;GBR
Pearl Jam;United States of America;USA
Percival Schuttenbach;Poland;POL
Pet Shop Boys;United Kingdom;GBR
Philip Glass;United States of America;USA
Pink Floyd;United Kingdom;GBR
Poeta Magica;Germany;DEU
Puddles Pity Party;United States of America;USA
Pyotr Ilyich Tchaikovsky;Russia;RUS
RJD2;United States of America;USA
Radiohead;United Kingdom;GBR
Rainbow;United Kingdom;GBR
Ralph Lundsten;Sweden;SWE
Rapalje;Netherlands;NLD
Rendez Vous;France;FRA
Rhapsody;Italy;ITA
Richard Strauss;Germany;DEU
Richard Wagner;Germany;DEU
Rick Wakeman;United Kingdom;GBR
Rod Stewart;United Kingdom;GBR
Rondò Veneziano;Italy;ITA
Sabaton;Sweden;SWE
Sacred Spirit;United States of America;USA
Saint City Orchestra;Switzerland;CHE
Samuel Barber;United States of America;USA
She Past Away;Turkey;TUR
Simon & Garfunkel;United States of America;USA
Sisters of Mercy;United Kingdom;GBR
Sivuca;Brazil;BRA
Soundgarden;United States of America;USA
Sowulo;Netherlands;NLD
Splendorius;Russia;RUS
Steiner & Madlaina;Germany;DEU
Stratovarius;Finland;FIN
Stromae;Belgium;BEL
Styx;United States of America;USA
Summoning;Switzerland;CHE
Supertramp;United Kingdom;GBR
System Of A Down;Armenia;ARM
Tangerine Dream;Germany;DEU
Tanzwut;Germany;DEU
The Corries;United Kingdom;GBR
The Cranberries;Ireland;IRL
The Cure;United Kingdom;GBR
The Dead South;United States of America;USA
The Down Hill Strugglers;United States of America;USA
The Dubliners;Ireland;IRL
The Foggy Mountain Boys;United States of America;USA
The Mission;United Kingdom;GBR
